Plot,Tag,Family,Species,Month,year,CollectionNumber,CollectorString,sterile_collection,tropicos_species
TAM_05,416,Calophyllaceae,Calophyllum brasiliense,2,1984,46079,Alwyn H. Gentry,1,Calophyllum brasiliense
TAM_05,434,Elaeocarpaceae,Sloanea terniflora,2,1984,46113,Alwyn H. Gentry,1,Sloanea terniflora
TAM_05,438,Myristicaceae,Iryanthera laevis,2,1984,46114,Alwyn H. Gentry,1,Iryanthera laevis
TAM_05,463,Lauraceae,Ocotea bofo,2,1984,46179,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,477,Moraceae,Clarisia racemosa,2,1984,46161,Alwyn H. Gentry,1,Clarisia racemosa
TAM_05,520,Sapotaceae,Pouteria caimito,2,1984,46191,Alwyn H. Gentry,1,Pouteria caimito
TAM_05,529,Lauraceae,Nectandra viburnoides,2,1984,46184,Alwyn H. Gentry,1,Nectandra viburnoides
TAM_05,529,Lauraceae,Nectandra viburnoides,6,1986,54181,Alwyn H. Gentry,1,Nectandra cissiflora
TAM_05,536,Moraceae,Brosimum lactescens,2,1984,46188,Alwyn H. Gentry,1,Brosimum lactescens
TAM_05,549,Lecythidaceae,Eschweilera coriacea,2,1984,46189,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_05,549,Lecythidaceae,Eschweilera coriacea,5,1987,57807,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_05,584,Lauraceae,Ocotea bofo,2,1984,46226,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,232E,Malvaceae,Matisia ochrocalyx,8,2014,26639,Abel Monteagudo,1,Matisia ochrocalyx
TAM_06,6.2,Burseraceae,Protium stevensonii,9,2003,5769,Abel Monteagudo,1,Protium stevensonii
TAM_06,354,Annonaceae,Duguetia spixiana,2,1984,45786,Alwyn H. Gentry,0,Duguetia spixiana
TAM_06,469.1,Moraceae,Brosimum lactescens,9,2003,5777,Abel Monteagudo,1,Brosimum lactescens
TAM_06,532,Sapotaceae,Sarcaulus brasiliensis,9,2003,5783,Abel Monteagudo,1,Sarcaulus brasiliensis
TAM_06,108A,Burseraceae,Protium stevensonii,8,2014,26465,Abel Monteagudo,1,Protium stevensonii
TAM_07,27,Myristicaceae,Iryanthera juruensis,7,1985,51103,Alwyn H. Gentry,1,Iryanthera juruensis
TAM_07,32,Myristicaceae,Iryanthera laevis,7,1985,51098,Alwyn H. Gentry,1,Iryanthera laevis
TAM_07,37,Burseraceae,Protium stevensonii,7,1985,51107,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_07,72,Myristicaceae,Iryanthera laevis,9,2003,6041,Abel Monteagudo,0,Iryanthera laevis
TAM_07,72,Myristicaceae,Iryanthera juruensis,7,1985,51134,Alwyn H. Gentry,1,Iryanthera juruensis
